,,,Και των δύο φύλων ,,,,,,,,,,,,,,,,,Άρρενες,,,,,,,,,,,,,,,,,Θήλεις,,,,,,,,,,,,,,,,
level,location_id,name,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
8,2423702031101,"Περιστέρα,η",48,0,0,0,0,4,5,5,4,5,0,8,6,6,0,0,12,26,0,0,0,0,3,0,0,4,3,0,6,4,0,0,3,0,20,0,0,0,0,0,3,3,0,0,0,4,0,3,0,0,8
8,2423702031102,"Αγρίδιον,το",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702031103,"Χαλκιάνικα,τα",8,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237020312,Δημοτική Κοινότητα Πλατάνου,202,3,9,6,14,9,8,3,3,12,14,15,15,15,22,13,47,87,0,4,3,5,4,3,3,3,0,7,7,7,5,13,8,17,112,3,3,3,6,7,3,0,3,9,9,10,5,8,6,8,27
8,2423702031201,"Πλάτανος,ο",198,3,9,6,14,9,8,3,3,12,12,17,15,15,17,13,47,87,0,4,3,5,4,3,3,3,0,7,7,7,5,11,8,18,109,3,3,3,6,7,3,0,3,9,7,8,5,8,8,8,27
8,2423702031202,"Άνω Ποταμιά,η",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702031203,"Κορινθιακό Μπαλκόνι,το",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702031204,"Τσιβλός,ο",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237020313,Δημοτική Κοινότητα Ποροβίτσης,90,3,5,6,6,0,0,0,4,13,4,4,9,7,11,6,13,46,0,0,0,4,0,0,0,5,12,0,0,3,3,7,7,6,46,0,3,3,0,0,0,0,3,4,3,3,4,3,7,0,10
8,2423702031301,"Παραλία Ποροβίτσης,η",89,3,5,6,6,0,0,0,4,13,6,0,9,7,11,6,11,41,0,0,0,4,0,0,0,5,12,0,0,3,3,7,7,4,45,0,3,3,0,0,0,0,3,4,3,0,4,3,7,0,9
8,2423702031302,"Ποροβίτσα,η",4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
7,24237020314,Δημοτική Κοινότητα Συλιβαινιώτικων,960,30,36,47,50,39,51,43,45,82,74,59,71,74,61,69,131,466,20,18,20,27,18,31,21,25,36,40,31,30,32,33,40,53,491,7,16,25,26,18,23,19,23,48,32,30,39,43,32,32,76
8,2423702031401,"Συλιβαινιώτικα,τα",960,30,36,47,50,39,51,43,45,82,74,59,71,74,61,69,131,466,20,18,20,27,18,31,21,25,36,40,31,30,32,33,40,53,491,7,16,25,26,18,23,19,23,48,32,30,39,43,32,32,76
6,242370204,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΙΑΚΟΠΤΟΥ,5605,166,220,220,276,209,173,212,303,355,435,416,428,458,386,401,942,2795,74,110,123,142,118,90,101,153,183,236,217,215,233,197,185,418,2813,89,114,95,138,94,85,113,146,169,202,201,211,222,192,214,523
7,24237020401,Δημοτική Κοινότητα Διακοπτού,1977,62,86,80,121,74,51,79,106,140,145,160,130,147,141,133,321,974,33,51,48,56,36,29,32,50,74,73,82,66,76,70,62,144,1001,31,38,29,63,35,25,50,58,70,70,76,66,73,68,73,180
8,2423702040101,"Διακοπτόν,το",1910,64,83,77,117,74,52,74,103,137,141,155,127,134,133,127,315,938,31,46,46,57,36,30,28,44,69,73,82,62,71,66,53,139,974,31,35,29,63,35,25,48,56,71,66,76,63,65,69,72,177
8,2423702040102,"Καλυβίτης,ο",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
8,2423702040103,"Κερνίτσα,η",19,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0
8,2423702040104,"Λόφος,ο",36,0,3,0,0,0,3,0,6,3,3,3,3,8,3,5,5,23,0,3,0,0,0,3,0,4,0,3,0,0,4,3,3,4,16,0,0,0,0,0,0,0,0,3,0,3,3,7,0,0,4
7,24237020402,Δημοτική Κοινότητα Άνω Διακοπτού,146,6,6,8,6,3,8,6,7,13,10,7,17,12,13,15,22,74,4,0,3,3,3,3,3,0,5,7,6,12,5,8,9,10,74,0,6,3,0,4,3,5,8,6,6,3,7,4,9,9,14
8,2423702040201,"Άνω Διακοπτόν,το",132,6,6,8,6,3,3,6,7,9,11,7,14,7,7,12,24,62,4,0,3,3,3,3,3,0,5,6,6,10,5,3,5,10,66,0,6,3,0,4,3,5,8,3,3,3,0,4,9,9,11
8,2423702040202,"Πούντα,η",12,0,0,0,0,0,3,0,0,0,3,0,5,3,3,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7,24237020403,Δημοτική Κοινότητα Ελαιώνος,672,13,18,25,27,21,21,28,27,40,56,47,57,58,49,59,118,340,6,4,14,9,14,9,14,20,20,28,20,30,33,28,28,59,333,9,12,13,16,9,9,11,10,16,30,29,29,27,24,33,61
8,2423702040301,"Ελαιών,ο",554,9,16,26,24,20,14,22,25,36,44,38,56,53,42,47,87,285,6,3,14,9,12,9,11,16,24,21,18,27,33,24,21,43,271,5,10,10,12,9,3,13,11,14,25,22,26,22,20,23,47
8,2423702040302,"Μετόχιον,το",4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,2423702040303,"Τερψιθέα,η",108,0,5,0,0,4,10,4,5,0,14,11,3,4,8,14,27,51,3,4,0,0,4,3,6,0,0,3,4,0,3,3,5,12,59,0,4,0,0,0,4,0,0,0,8,4,0,3,3,7,12
7,24237020404,Δημοτική Κοινότητα Ελίκης,497,3,14,21,31,19,11,15,24,33,42,37,39,56,43,27,85,242,0,7,12,13,12,9,8,16,12,25,20,18,23,28,15,31,258,3,3,12,15,9,5,4,11,19,15,19,17,30,19,10,52
8,2423702040401,"Ελίκη,η",485,3,14,21,27,20,11,15,21,33,42,37,35,52,43,24,80,236,0,7,12,10,8,9,8,12,12,25,20,18,18,28,15,29,251,3,3,12,15,9,5,4,11,19,15,19,20,30,19,11,49
8,2423702040402,"Καλαντέρι,το",9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237020405,Δημοτική Κοινότητα Ζαχλωριτίκων,331,3,18,12,16,10,10,9,21,23,29,18,29,22,28,19,54,169,0,9,7,13,11,6,9,9,12,18,4,14,8,18,8,27,160,5,11,8,5,3,8,3,9,9,13,10,17,16,14,13,29
8,2423702040501,"Ζαχλωρίτικα,τα",331,3,18,12,16,10,10,9,21,23,29,18,29,22,28,19,54,169,0,9,7,13,11,6,9,9,12,18,4,14,8,18,8,27,160,5,11,8,5,3,8,3,9,9,13,10,17,16,14,13,29
7,24237020406,Δημοτική Κοινότητα Καθολικού,51,0,0,3,0,0,0,0,3,3,7,3,5,4,4,0,14,24,0,0,0,0,0,0,0,3,3,4,0,0,3,3,0,7,29,0,0,3,0,0,3,0,0,0,0,0,5,0,3,3,9
8,2423702040601,"Καθολικόν,το",51,0,0,3,0,0,0,0,3,3,7,3,5,4,4,0,14,24,0,0,0,0,0,0,0,3,3,4,0,0,3,3,0,7,29,0,0,3,0,0,3,0,0,0,0,0,5,0,3,3,9
7,24237020407,Δημοτική Κοινότητα Κερυνείας,322,17,13,16,12,18,19,14,13,15,22,31,28,19,13,12,46,158,7,3,4,8,16,6,6,12,9,15,18,15,16,10,5,19,166,12,9,10,7,4,11,10,5,3,10,16,15,5,5,10,30
8,2423702040701,"Κερύνεια,η",73,3,3,5,3,7,0,4,3,3,3,8,7,3,3,5,15,39,0,0,6,0,8,4,4,3,0,3,3,6,3,0,3,8,36,0,3,3,0,3,0,0,0,0,3,8,3,0,0,5,11
8,2423702040702,"Νέα Κερύνεια,η",252,18,7,9,12,14,15,13,13,9,16,26,23,14,12,10,35,122,6,3,0,4,11,5,5,6,7,9,13,11,11,8,5,15,127,9,8,5,6,4,6,10,5,4,9,11,10,5,3,7,22
7,24237020408,Δημοτική Κοινότητα Μαμουσιάς,193,4,11,4,6,6,9,7,8,14,19,20,13,12,11,14,36,106,4,7,5,5,4,8,3,3,6,16,11,4,7,7,4,12,90,3,6,0,4,0,3,0,4,5,7,6,5,3,6,7,21
8,2423702040801,"Μαμουσιά,η",128,0,4,4,6,4,8,4,0,7,14,12,10,5,13,11,25,74,0,3,5,4,4,7,3,3,5,6,8,4,0,7,4,5,57,0,3,0,4,0,3,3,0,4,4,6,3,0,3,10,17
8,2423702040802,"Δερβένιον,το",68,3,4,0,3,4,3,0,5,4,9,5,0,5,0,5,13,35,4,3,0,3,3,3,0,3,4,6,5,3,3,0,3,5,30,3,4,0,0,0,0,0,5,3,5,0,0,4,0,0,6
7,24237020409,Δημοτική Κοινότητα Νικολαιίκων,369,15,13,13,15,22,17,16,30,18,36,26,27,32,16,30,55,187,4,4,8,5,9,4,7,18,8,18,11,22,14,4,13,25,185,8,7,7,8,11,11,7,10,8,15,12,8,14,9,15,32
8,2423702040901,"Νικολαίικα,τα",369,15,13,13,15,22,17,16,30,18,36,26,27,32,16,30,55,187,4,4,8,5,9,4,7,18,8,18,11,22,14,4,13,25,185,8,7,7,8,11,11,7,10,8,15,12,8,14,9,15,32
7,24237020410,Δημοτική Κοινότητα Ριζομύλου,347,6,13,12,11,8,8,16,22,22,23,24,33,39,29,25,52,186,3,3,9,5,5,3,4,12,11,16,15,19,18,10,13,29,164,0,8,5,3,7,9,9,8,14,10,7,16,19,16,9,20
8,2423702041001,"Ριζόμυλος,ο",347,6,13,12,11,8,8,16,22,22,23,24,33,39,29,25,52,186,3,3,9,5,5,3,4,12,11,16,15,19,18,10,13,29,164,0,8,5,3,7,9,9,8,14,10,7,16,19,16,9,20
7,24237020411,Δημοτική Κοινότητα Ροδιάς,437,17,25,16,23,12,7,16,28,28,35,20,30,38,27,43,72,215,10,11,13,9,4,3,15,13,11,16,15,13,19,13,24,34,224,11,12,6,12,5,8,6,12,13,15,8,19,17,16,22,35
8,2423702041101,"Ροδιά,η",437,17,25,16,23,12,7,16,28,28,35,20,30,38,27,43,72,215,10,11,13,9,4,3,15,13,11,16,15,13,19,13,24,34,224,11,12,6,12,5,8,6,12,13,15,8,19,17,16,22,35
7,24237020412,Δημοτική Κοινότητα Τραπέζης,260,13,13,8,10,9,7,9,15,15,13,17,25,21,16,15,65,122,4,3,6,9,0,4,6,6,7,8,6,13,11,8,6,27,137,7,7,4,3,6,5,5,6,6,8,14,10,12,6,6,36
8,2423702041201,"Τράπεζα,η",224,10,9,8,7,9,6,9,9,11,13,15,19,18,13,12,54,106,3,4,6,9,0,4,4,5,10,8,6,9,10,5,6,25,119,4,7,4,0,6,4,3,0,4,8,11,8,11,5,8,31
8,2423702041202,"Παραλία Τραπέζης,η",35,0,0,0,0,0,3,3,4,0,0,0,4,4,0,0,10,17,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,19,0,0,0,0,0,3,0,3,0,0,0,4,3,3,0,3
6,242370205,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΕΡΙΝΕΟΥ,2892,91,108,146,127,115,119,132,135,193,215,211,245,227,212,175,445,1470,47,62,73,67,66,72,71,68,94,111,107,127,110,116,86,198,1420,42,48,76,58,52,51,63,65,101,101,101,120,113,94,91,245
7,24237020501,Δημοτική Κοινότητα Ζήριας,770,24,39,27,31,30,20,31,37,58,53,57,59,71,52,53,130,402,6,20,14,20,15,19,17,16,27,27,29,31,39,28,26,64,365,14,15,10,13,12,5,11,16,28,29,25,26,30,22,23,70
8,2423702050101,"Ζήρια,η",517,18,18,16,21,19,15,25,20,37,34,39,40,50,38,24,87,275,5,15,11,17,13,11,13,9,22,17,24,24,30,22,12,37,244,9,6,7,7,3,6,11,15,18,20,18,20,22,14,14,52
8,2423702050102,"Άνω Ζήρια,η",10,5,4,0,0,0,0,0,4,0,0,0,3,0,0,0,4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0
8,2423702050103,"Λαμπίριον,το",177,3,12,4,8,4,7,4,7,11,17,13,11,11,13,25,35,94,0,8,0,3,5,3,3,5,5,11,12,5,3,4,13,14,85,3,7,0,4,3,3,4,4,3,8,4,3,6,7,10,18
8,2423702050104,"Σαρκουνάς,ο",63,0,3,3,3,3,4,0,0,7,3,5,9,7,6,3,14,32,0,0,3,3,0,4,0,3,3,0,0,3,3,3,0,6,35,0,3,3,3,3,0,0,0,0,0,4,4,3,0,0,6
7,24237020502,Δημοτική Κοινότητα Αρραβωνίτσης,134,0,3,0,3,3,4,8,0,7,9,10,18,7,11,13,31,70,3,0,0,0,3,0,4,0,3,8,7,9,4,7,3,11,66,0,3,4,7,3,4,0,0,7,3,5,5,5,0,7,17
8,2423702050201,"Αρραβωνίτσα,η",117,0,0,4,3,3,4,7,0,8,13,7,13,10,10,7,29,61,3,0,4,0,3,0,3,0,3,8,7,6,3,7,3,12,58,0,0,4,7,3,4,0,0,7,3,3,5,5,0,3,14
8,2423702050202,"Συνανιά,τα",20,0,5,0,0,0,0,0,0,0,0,5,0,0,4,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,5,0,0,0,0,0,0,0,0,5,0,0,3,0,5
7,24237020503,Δημοτική Κοινότητα Δαμακινίου,68,0,5,4,6,4,4,5,0,4,4,8,8,4,0,0,15,39,0,5,3,6,0,3,4,0,0,3,5,6,3,4,0,7,32,0,0,5,3,0,0,0,0,0,5,5,0,0,0,4,11
8,2423702050301,"Δαμακίνιον,το",68,0,5,4,6,4,4,5,0,4,4,8,8,4,0,0,15,39,0,5,3,6,0,3,4,0,0,3,5,6,3,4,0,7,32,0,0,5,3,0,0,0,0,0,5,5,0,0,0,4,11
8,2423702050302,"Βουνόπυργος,ο",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237020504,Δημοτική Κοινότητα Καμάρων,1301,54,50,77,63,64,67,63,67,92,90,89,119,101,90,73,157,653,27,23,37,32,36,39,32,33,45,48,41,55,50,51,35,65,652,25,25,38,29,25,31,33,32,49,40,45,62,48,41,35,89
8,2423702050401,"Καμάραι,αι",1195,48,46,65,58,63,62,54,64,79,80,81,112,92,81,64,144,594,23,22,36,32,36,32,27,32,40,48,40,54,43,43,33,60,598,23,28,32,28,24,28,30,27,42,36,42,61,46,41,32,85
8,2423702050402,"Μπούκα,η",63,4,6,7,3,4,3,3,3,10,3,3,4,7,3,4,9,34,0,4,4,0,0,3,3,0,6,3,3,4,4,3,3,5,26,0,0,5,3,4,0,3,3,8,0,0,4,4,0,3,3
8,2423702050403,"Πεύκα,τα",44,3,0,4,4,0,3,5,3,9,5,4,0,3,0,4,4,18,3,0,0,0,0,4,4,3,4,4,3,0,3,0,0,0,23,0,0,5,4,0,0,0,3,7,0,0,0,4,0,4,3
7,24237020505,Δημοτική Κοινότητα Νέου Ερινεού,283,3,7,16,14,14,12,7,10,16,27,25,17,22,31,21,48,135,0,7,7,5,4,6,5,5,7,14,10,8,9,15,8,18,147,0,0,12,7,7,3,4,8,7,16,13,7,16,14,10,27
8,2423702050501,"Νέος Ερινεός,ο",283,3,7,16,14,14,12,7,10,16,27,25,17,22,31,21,48,135,0,7,7,5,4,6,5,5,7,14,10,8,9,15,8,18,147,0,0,12,7,7,3,4,8,7,16,13,7,16,14,10,27
7,24237020506,Δημοτική Κοινότητα Σαλμενίκου,332,10,14,18,7,8,20,21,12,19,23,25,26,18,26,18,65,170,11,8,9,0,4,8,12,7,8,14,12,15,8,9,11,30,160,3,4,12,3,3,9,11,8,7,11,10,13,7,14,10,32
8,2423702050601,"Κάτω Σαλμενίκον,το",195,12,11,11,3,4,10,14,11,13,10,13,14,8,13,16,43,101,9,7,0,0,3,3,8,5,7,6,5,7,5,3,5,21,91,0,0,14,4,0,6,8,4,3,3,5,9,5,8,8,19
8,2423702050602,"Άνω Σαλμενίκον,το",20,0,0,0,0,0,3,4,0,3,3,0,0,0,3,3,4,13,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,5,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0
8,2423702050603,"Βοτένη,η",6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423702050604,"Μονή Αγίας Ελεούσης,η",10,0,0,0,0,0,0,3,0,4,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,4,3,0,0,0,4,0,3
8,2423702050605,"Νέο Σαλμενίκον,το",100,3,0,3,3,5,7,3,0,0,10,14,12,5,10,4,17,57,0,5,3,4,3,5,3,0,0,6,7,6,3,3,4,4,48,0,0,0,3,0,0,0,0,0,7,4,4,5,4,3,10
6,242370206,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΥΜΠΟΛΙΤΕΙΑΣ,6163,256,259,309,320,259,262,264,363,410,488,507,400,460,424,354,823,2986,132,141,148,160,124,139,134,165,214,254,246,197,216,206,173,347,3174,126,115,165,157,133,120,131,200,200,239,259,206,246,216,185,474
7,24237020601,Δημοτική Κοινότητα Ροδοδάφνης,2776,127,122,161,158,121,119,113,175,185,221,232,181,202,197,146,328,1329,60,60,79,78,56,66,57,71,100,109,101,90,90,98,71,142,1449,65,65,85,77,67,55,53,102,82,109,128,88,115,97,71,184
8,2423702060101,"Ροδοδάφνη,η",2776,127,122,161,158,121,119,113,175,185,221,232,181,202,197,146,328,1329,60,60,79,78,56,66,57,71,100,109,101,90,90,98,71,142,1449,65,65,85,77,67,55,53,102,82,109,128,88,115,97,71,184
7,24237020602,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,407,24,13,21,18,24,25,15,16,18,33,37,21,24,27,23,58,199,15,9,13,12,11,14,10,6,6,18,22,9,8,13,7,22,205,11,3,12,8,15,14,8,8,10,18,18,10,12,16,14,34
8,2423702060201,"Άγιος Κωνσταντίνος,ο",407,24,13,21,18,24,25,15,16,18,33,37,21,24,27,23,58,199,15,9,13,12,11,14,10,6,6,18,22,9,8,13,7,22,205,11,3,12,8,15,14,8,8,10,18,18,10,12,16,14,34
7,24237020603,Δημοτική Κοινότητα Άλσους,75,0,4,3,3,0,4,5,3,5,6,7,6,6,4,7,11,36,0,3,3,3,0,0,0,3,3,3,5,3,3,5,0,5,41,0,0,4,0,0,0,0,3,5,8,4,0,7,3,4,8
8,2423702060301,"Άλσος,το",75,0,4,3,3,0,4,5,3,5,6,7,6,6,4,7,11,36,0,3,3,3,0,0,0,3,3,3,5,3,3,5,0,5,41,0,0,4,0,0,0,0,3,5,8,4,0,7,3,4,8
7,24237020604,Δημοτική Κοινότητα Βερίνου,114,4,0,4,5,3,3,4,9,8,15,8,3,9,13,6,19,42,3,0,0,6,3,3,4,4,4,5,3,0,4,5,0,3,74,0,0,0,0,0,0,3,3,8,12,4,4,7,12,9,18
8,2423702060401,"Βερίνον,το",84,4,0,4,5,3,3,4,9,8,13,0,3,3,7,6,11,42,3,0,0,6,3,3,4,4,4,5,3,0,4,5,0,3,39,0,0,0,0,0,0,0,3,8,6,3,4,3,5,3,5
8,2423702060402,"Μονή Αγίου Ιωάννου Θεολόγου,η",32,0,0,0,0,0,0,3,0,0,4,4,0,3,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,3,0,0,4,4,0,3,3,4,10
7,24237020605,Δημοτική Κοινότητα Γκραίκα,80,4,8,10,3,7,0,3,0,10,12,6,5,5,3,3,4,42,3,4,3,3,0,0,3,0,4,7,6,3,0,0,0,4,41,4,0,4,3,3,0,3,0,3,7,0,5,3,3,3,3
8,2423702060501,"Γκραίκας,ο",80,4,8,10,3,7,0,3,0,10,12,6,5,5,3,3,4,42,3,4,3,3,0,0,3,0,4,7,6,3,0,0,0,4,41,4,0,4,3,3,0,3,0,3,7,0,5,3,3,3,3
7,24237020606,Δημοτική Κοινότητα Γρηγόρη,81,3,4,0,5,4,3,3,4,4,5,7,7,3,5,5,15,47,0,0,0,0,4,0,3,5,3,3,5,3,4,3,0,12,36,3,4,0,0,0,5,0,0,3,4,0,3,3,6,4,5
8,2423702060601,"Γρηγόρης,ο",77,3,4,0,5,4,3,3,4,4,5,3,7,3,5,5,15,45,0,0,0,0,4,0,3,0,3,3,5,3,4,3,0,9,34,3,4,0,0,0,5,0,0,3,4,0,3,3,6,4,3
8,2423702060602,"Επταπίττα,η",8,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,24237020607,Δημοτική Κοινότητα Δημητροπούλου,172,5,8,6,13,0,6,19,10,9,10,14,9,18,15,10,25,87,5,8,0,3,0,4,10,5,8,5,9,5,9,8,5,9,83,3,0,3,6,0,4,6,3,4,3,8,6,11,5,7,13
8,2423702060701,"Δημητρόπουλον,το",172,5,8,6,13,0,6,19,10,9,10,14,9,18,15,10,25,87,5,8,0,3,0,4,10,5,8,5,9,5,9,8,5,9,83,3,0,3,6,0,4,6,3,4,3,8,6,11,5,7,13
7,24237020608,Δημοτική Κοινότητα Δουκαναιίκων,38,3,0,0,0,0,0,3,3,6,5,0,3,0,4,5,9,20,3,0,0,0,0,0,3,0,3,3,0,5,0,0,4,4,19,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,8
8,2423702060801,"Δουκαναίικα,τα",18,3,0,0,0,0,0,3,3,0,0,0,3,0,4,4,4,9,3,0,0,0,0,0,3,0,3,0,0,5,0,0,4,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4
8,2423702060802,"Άνω Δουκαναίικα,τα",17,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,9,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
7,24237020609,Δημοτική Κοινότητα Κρήνης Αιγιαλείας,217,14,18,11,8,4,17,19,23,11,10,17,10,14,9,10,19,116,7,13,3,3,3,8,10,13,6,4,13,8,9,4,6,14,99,10,7,6,3,3,6,11,12,8,3,7,4,9,3,6,9
8,2423702060901,"Κρήνη,η",216,14,18,11,8,4,17,19,23,11,10,17,10,13,9,10,19,116,7,13,3,3,3,8,10,13,6,4,13,8,9,4,6,14,98,10,7,6,3,3,6,11,12,8,3,7,4,8,3,6,9
8,2423702060902,"Μικρόνι,το",4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
7,24237020610,Δημοτική Κοινότητα Λάκκας,91,0,0,3,6,0,0,3,3,7,11,6,4,6,10,6,18,51,0,0,0,3,0,0,0,0,0,5,4,6,4,0,6,7,43,0,3,0,4,0,3,4,0,4,3,4,0,4,6,3,9
8,2423702061001,"Λάκκα,η",91,0,0,3,6,0,0,3,3,7,11,6,4,6,10,6,18,51,0,0,0,3,0,0,0,0,0,5,4,6,4,0,6,7,43,0,3,0,4,0,3,4,0,4,3,4,0,4,6,3,9
7,24237020611,Δημοτική Κοινότητα Λόγγου,781,26,41,42,40,25,32,23,50,59,57,54,56,67,46,48,112,381,13,23,17,26,13,14,12,20,36,27,24,26,30,24,29,51,403,15,17,21,16,14,16,14,27,26,27,29,32,35,26,21,64
8,2423702061101,"Λόγγος,ο",781,26,41,42,40,25,32,23,50,59,57,54,56,67,46,48,112,381,13,23,17,26,13,14,12,20,36,27,24,26,30,24,29,51,403,15,17,21,16,14,16,14,27,26,27,29,32,35,26,21,64
7,24237020612,Δημοτική Κοινότητα Μάγειρα,40,5,0,0,3,3,3,0,3,3,3,3,0,3,3,4,0,23,0,0,0,0,4,3,0,0,0,3,0,0,3,0,3,0,21,0,0,0,3,0,0,0,3,3,3,0,0,3,3,3,4
8,2423702061201,"Μάγειρας,ο",40,5,0,0,3,3,3,0,3,3,3,3,0,3,3,4,0,23,0,0,0,0,4,3,0,0,0,3,0,0,3,0,3,0,21,0,0,0,3,0,0,0,3,3,3,0,0,3,3,3,4
7,24237020613,Δημοτική Κοινότητα Μυρόβρυσης,177,3,0,8,9,11,8,3,4,13,14,10,17,12,15,3,38,85,3,0,3,4,8,5,3,4,7,10,6,7,9,6,0,16,89,0,0,8,0,7,5,3,3,3,7,7,7,6,6,6,24
8,2423702061301,"Μυρόβρυση,η",177,3,0,8,9,11,8,3,4,13,14,10,17,12,15,3,38,85,3,0,3,4,8,5,3,4,7,10,6,7,9,6,0,16,89,0,0,8,0,7,5,3,3,3,7,7,7,6,6,6,24
7,24237020614,Δημοτική Κοινότητα Νεραντζιών,189,3,9,5,10,6,5,8,6,15,18,9,12,15,20,19,38,93,3,7,0,0,3,0,3,3,6,11,0,4,6,8,7,13,98,4,0,3,6,6,3,3,0,7,3,5,5,11,10,9,22
8,2423702061401,"Νεραντζιαί,αι",189,3,9,5,10,6,5,8,6,15,18,9,12,15,20,19,38,93,3,7,0,0,3,0,3,3,6,11,0,4,6,8,7,13,98,4,0,3,6,6,3,3,0,7,3,5,5,11,10,9,22
7,24237020615,Δημοτική Κοινότητα Σελιανιτίκων,857,31,21,30,42,51,31,38,48,60,66,88,64,72,57,49,114,408,17,8,16,16,30,17,14,24,23,38,39,30,41,27,28,43,447,17,11,16,28,17,17,22,21,34,24,47,36,29,27,19,68
8,2423702061501,"Σελιανίτικα,τα",857,31,21,30,42,51,31,38,48,60,66,88,64,72,57,49,114,408,17,8,16,16,30,17,14,24,23,38,39,30,41,27,28,43,447,17,11,16,28,17,17,22,21,34,24,47,36,29,27,19,68
